etmiss mtw leadleptPt leadleptEta leadleptE leadleptPhi Q_leadlep leadleptID n_TopLRjets leadTopLRjet_pt leadTopLRjet_eta leadTopLRjet_phi leadTopLRjet_m leadTopLRjet_Tau32 n_jets leadjet_pt leadjet_eta n_bjets leadbjet_pt leadbjet_eta ttbarMLR largeRjet_pt_total largeRjet_eta_total largeRjet_phi_total largeRjet_m_total largeRjet_tau32_total weight
243.555 21.6284 109.641 -0.39142 118.148 2.33858 1 13 1 312.415 -0.519807 -0.739712 104.279 0.460924 2 43.974 -0.846483 1 40.8536 -0.10926 0 312.415 -0.519807 -0.739712 104.279 0.460924 1.5779
349.837 1.80393 110.816 0.297496 115.756 2.5065 -1 13 1 509.03 -0.0306338 -0.947985 110.695 0.602369 1 125.563 0.691592 1 101.758 0.295087 0 509.03 -0.0306338 -0.947985 110.695 0.602369 1.03621
319.378 33.4752 37.3164 0.318539 39.2258 2.90948 -1 13 1 364.228 -0.0229072 -0.35136 176.716 0.549701 1 60.7951 0.368686 1 60.7951 0.368686 389.373 364.228 -0.0229072 -0.35136 176.716 0.549701 1.76868
304.764 74.8528 49.9511 -2.02597 192.694 0.897633 1 13 1 353.534 -0.531026 -1.76885 132.482 0.614454 1 34.5894 -1.37196 1 315.022 -0.423886 0 353.534 -0.531026 -1.76885 132.482 0.614454 0.771275
230.627 49.3675 85.0652 0.20682 86.8911 3.10383 -1 13 1 382.319 0.93159 0.308409 127.14 0.582465 1 94.632 0.496646 1 180.82 1.11435 0 382.319 0.93159 0.308409 127.14 0.582465 1.76517
258.348 34.9944 90.6764 -0.917309 131.578 2.92071 1 11 1 390.406 1.12041 0.0621265 117.155 0.718289 1 86.3279 -0.972244 1 334.468 0.978835 0 390.406 1.12041 0.0621265 117.155 0.718289 1.34833
127.394 47.8498 42.6151 0.847008 58.8377 -0.180182 -1 11 1 352.686 -1.43415 -3.12906 138.074 0.602074 1 49.9004 -0.0349277 1 70.4526 -0.82491 0 352.686 -1.43415 -3.12906 138.074 0.602074 1.74276
232.517 49.9483 89.8347 0.17087 91.1494 -0.222021 -1 13 1 571.268 -0.875403 2.06755 177.512 0.466341 1 383.416 -0.342071 1 383.416 -0.342071 1105.34 956.121 -1.24795 0.39706 229.227 1.16334 1.68673
343.935 56.7261 172.686 0.376224 185.052 -2.08915 1 11 1 415.608 0.656834 0.863156 234.856 0.656016 2 99.0584 1.8115 1 275.511 0.49858 0 415.608 0.656834 0.863156 234.856 0.656016 1.7216
253.752 21.4354 46.6668 1.75719 139.269 0.153906 1 11 1 337.142 -0.18902 3.02904 129.831 0.667137 1 70.0069 1.12305 1 40.844 -0.524542 0 337.142 -0.18902 3.02904 129.831 0.667137 0.764153
127.95 4.64394 212.677 1.26078 405.321 1.28342 1 11 1 304.517 1.5329 -1.64698 136.535 0.362513 1 52.6102 1.81907 1 35.4382 1.40683 0 304.517 1.5329 -1.64698 136.535 0.362513 1.97422
82.0637 35.8348 39.8855 -0.614228 47.649 -3.09186 -1 11 1 358.091 0.583074 0.397121 116.509 0.683137 2 198.87 -1.09027 1 275.82 0.663401 0 358.091 0.583074 0.397121 116.509 0.683137 1.26893
298.451 5.80476 70.0901 -1.25711 133.162 -2.89933 1 11 1 343.992 -1.85189 0.265737 190.956 0.419483 1 40.0023 -0.723493 1 40.0023 -0.723493 444.517 343.992 -1.85189 0.265737 190.956 0.419483 1.00198
216.442 10.3675 67.4991 1.18586 120.789 -1.47699 1 13 1 359.294 0.892253 1.57757 161.45 0.508269 1 51.6175 0.798247 1 312.781 0.807622 0 359.294 0.892253 1.57757 161.45 0.508269 0.987551
153.79 35.8463 49.2234 -0.473907 54.8551 -0.814513 1 11 1 339.864 -1.47808 1.77135 186.643 0.433951 1 144.591 -0.338118 1 144.591 -0.338118 628.573 339.864 -1.47808 1.77135 186.643 0.433951 2.06527
245.602 16.0393 36.9475 2.14788 160.415 -2.34269 -1 11 1 322.409 1.26218 0.804347 140.781 0.63894 1 67.3557 1.48281 1 80.3368 1.51338 0 322.409 1.26218 0.804347 140.781 0.63894 2.26306
195.995 54.0582 139.436 -0.765945 182.377 -0.259718 1 11 1 349.462 0.397576 -3.06974 113.094 0.529404 1 39.203 -0.499479 1 301.125 0.385817 0 349.462 0.397576 -3.06974 113.094 0.529404 0.584397
127.575 14.8711 60.2734 -0.397071 65.0876 -0.24999 1 11 1 318.151 -1.27146 3.03132 142.423 0.721095 1 51.9199 0.136475 1 51.9199 0.136475 468.36 318.151 -1.27146 3.03132 142.423 0.721095 1.07904
127.124 18.4716 136.949 0.21895 140.245 -1.02716 -1 11 1 329.426 0.884144 2.24781 115.314 0.654916 1 98.2392 1.03982 1 98.2392 1.03982 602.469 329.426 0.884144 2.24781 115.314 0.654916 2.00373
115.298 50.6543 134.04 -1.6259 353.849 -3.13038 1 13 1 318.387 -0.465151 -0.175818 144.838 0.274366 1 63.3347 -1.01397 1 113.374 -0.819574 0 318.387 -0.465151 -0.175818 144.838 0.274366 1.87649
245.293 49.8463 41.3314 1.68733 115.522 2.42932 -1 11 1 304.594 1.09215 -1.11073 184.076 0.569877 1 41.8132 2.02 1 41.8132 2.02 383.164 304.594 1.09215 -1.11073 184.076 0.569877 1.26365
192.039 60.2543 72.5819 1.88671 244.934 -2.27201 1 13 1 309.479 1.81759 1.43039 161.644 0.71143 1 88.3936 2.41623 1 36.6694 2.40436 0 309.479 1.81759 1.43039 161.644 0.71143 4.76352
237.77 11.3928 31.5946 0.747121 40.8303 3.0321 1 11 1 354.052 -0.203785 0.102662 118.563 0.699636 1 74.4737 -0.50648 1 74.4737 -0.50648 406.598 354.052 -0.203785 0.102662 118.563 0.699636 2.76966
271.238 15.891 95.87 -1.15122 166.732 -0.546005 1 11 1 374.231 -0.375285 2.63998 107.767 0.685638 1 47.7146 -0.798357 1 47.7146 -0.798357 505.852 374.231 -0.375285 2.63998 107.767 0.685638 1.07939
347.891 13.284 92.6958 0.777185 122.129 2.40827 1 13 1 420.915 0.0233542 -0.6219 132.067 0.702822 1 42.8712 0.0862865 1 42.8712 0.0862865 504.407 420.915 0.0233542 -0.6219 132.067 0.702822 0.806028
252.922 29.584 30.1619 -1.68991 84.5069 -1.68189 1 13 1 362.844 0.651407 1.2236 105.425 0.451654 1 81.7012 -2.19383 1 42.1925 -0.210238 0 362.844 0.651407 1.2236 105.425 0.451654 1.31849
300.019 5.83544 86.113 -0.0411035 86.1858 -1.35064 1 13 1 368.853 1.73273 1.98175 102.015 0.459659 1 33.0864 0.341639 1 308.65 1.75328 0 368.853 1.73273 1.98175 102.015 0.459659 0.99116
196.378 49.1954 38.3201 0.577895 44.8989 2.33415 1 11 1 855.093 -0.0491025 -0.296855 261.969 0.477589 5 379.861 -0.761294 1 776.989 0.0447068 0 1399.83 -0.658897 2.50251 489.225 0.985669 1.157
